dataset,model,fidelity,snapshot_mode,variant,binary,update_rate,nodes,dim,snapshots,init_ms,update_ms,macro_f1,micro_f1,link_auc,link_ap,recon_auc,eff_rate,compression_x
OAG,edane,native,window,full,False,0,15000,64,3,489.53029999999984,26.547149999998965,0.000491816201901976,0.01579035632564047,0.9986496913580247,0.9986598063358648,0.9987461419753086,9925.735907621356,1.0
OAG,dane,paper_approximation,window,full,False,0,15000,64,3,10013.171999999999,607759.1514,0.002058206055932673,0.01987500371661665,0.7092978395061729,0.7452055621226301,0.6741898148148148,0.4335599050923646,1.0
OAG,dtformer,paper_approximation,window,full,False,0,15000,64,3,4155.234,2145.576749999975,0.000803364180427758,0.01830130198301682,0.7973090277777778,0.7857705638483479,0.7532793209876543,122.81080133814977,1.0
OAG,edane,native,window,full,False,0,2000,64,2,85.13959999999999,13.318299999999894,0.016168487597059026,0.032983508245877056,0.9974394106152152,0.9977834138349125,0.9969452617865726,30108.94783868836,1.0
OAG,edane,native,window,full,False,0,10000,64,6,233.99440000000004,46.61350000006905,0.0008247085179869966,0.017115906807042797,0.9969135802469136,0.9971639436039539,0.9975308641975309,2870.413077752192,7.9936051159072745
OAG,edane,native,window,full,False,0,4000,64,2,225.85329999999982,17.464000000000368,0.0014671762434898573,0.010361633873071175,0.9989443184115361,0.9989014240211708,0.9997529255856786,22961.520842876293,1.0
OAG,dane,paper_approximation,window,full,False,0,15000,64,3,7053.0588,670482.31155,0.002058206055932673,0.01987500371661665,0.7092978395061729,0.7452055621226301,0.6741898148148148,0.39300067348659645,1.0
OAG,edane,native,window,full,False,0,15000,64,6,2163.9042999999997,117.32233999998698,0.0010087585845688428,0.023156586578293288,0.9974074074074074,0.9971030793755619,0.9990123456790123,1140.4477612704866,1.0
synthetic,edane,native,window,full,False,0,200,64,6,22.608199999999997,1.8935000000000368,1.0,1.0,0.8593826293945312,0.8668542938142135,0.858788284744315,2640.6126221282825,1.0
OAG,edane,native,window,full,False,0,760,64,3,28.526700000000016,7.994049999999975,0.0544184479528653,0.08736986773783627,0.9999035493827161,0.9999038819710514,0.9970582561728395,32962.015499027504,1.0
synthetic,edane,native,window,full,False,0,600,64,51,39.96339999999998,6.1182299999999215,1.0,1.0,0.7350311279296875,0.7506250879341927,0.7518692016601562,817.2298197354568,7.894736842105263
OAG,edane,native,window,full,False,0,760,64,3,29.839499999999962,12.700900000000015,0.048695829617442565,0.08179495362860092,0.9999035493827161,0.9999038819710514,0.9970582561728395,20746.56126731174,7.916666666666667
OAG,edane,native,window,full,False,0,760,64,6,27.371499999999994,16.59385999999987,0.02798142877792702,0.05274899076645438,0.9990123456790123,0.9989962589033515,1.0,8063.22338503525,7.916666666666667
OAG,edane,native,window,w/o-Inc,False,0,760,64,6,26.140700000000017,29.876499999999954,0.019625819641686415,0.037273250916492334,1.0,1.0,1.0,4478.436229143314,7.916666666666667
OAG,dane,paper_approximation,window,full,False,0,760,64,3,101.27720000000001,2427.4595000000004,0.01896142107259136,0.04137604522117412,0.7791763117283951,0.8202596579663624,0.7782118055555556,108.54969979931693,1.0
OAG,dtformer,paper_approximation,window,full,False,0,760,64,3,219.7327,143.32829999999984,0.007640140186670271,0.022328661173066276,0.7920042438271605,0.8101575052106348,0.7888695987654321,1838.4366520777842,1.0
OAG,edane,native,window,full,False,10,760,64,3,33.518600000000006,26350.0,0.048695829617442565,0.08179495362860092,0.9999035493827161,0.9999038819710514,0.9970582561728395,10.0,7.916666666666667
OAG,edane,native,window,full,False,100,760,64,3,29.50980000000003,2635.0,0.048695829617442565,0.08179495362860092,0.9999035493827161,0.9999038819710514,0.9970582561728395,100.00000000000001,7.916666666666667
OAG,edane,native,window,full,False,1000,760,64,3,31.3542,263.5,0.048695829617442565,0.08179495362860092,0.9999035493827161,0.9999038819710514,0.9970582561728395,1000.0,7.916666666666667
OAG,edane,native,window,full,False,0,760,64,3,27.303999999999938,9.952900000000042,0.048695829617442565,0.08179495362860092,0.9999035493827161,0.9999038819710514,0.9970582561728395,26474.69581729937,7.916666666666667
OAG,edane,native,window,w/o-Attr,False,0,760,64,3,16.215900000000005,7.298150000000447,0.06299931969537909,0.09965574256718904,1.0,1.0,1.0,36105.04031843465,7.916666666666667
OAG,edane,native,window,w/o-Hyperbolic,False,0,760,64,3,27.337699999999966,11.620150000000606,0.04648468878061403,0.07862934738703578,0.9986014660493827,0.9985799618928964,0.9918981481481481,22676.127244483614,7.916666666666667
OAG,edane,native,window,w/o-Inc,False,0,760,64,3,30.47070000000002,32.69279999999996,0.029663435556149965,0.053863111242278085,0.9998070987654321,0.999810051335349,0.9997106481481481,8059.878627710085,7.916666666666667
synthetic,edane,native,window,full,False,0,600,64,51,45.31260000000004,5.672943999999874,1.0,1.0,0.7350311279296875,0.7506250879341927,0.7518692016601562,881.376583304914,7.894736842105263
OAG,edane,native,window,full,False,0,760,64,3,34.429199999999994,8.739750000000157,0.06546210105383775,0.10712967768012382,0.8722029320987654,0.9160925741086773,0.8845486111111112,30149.60382161907,7.916666666666667
